_c0,metro,price,way,views,provider,fee_percent,storey,minutes,storeys,living_area,kitchen_area,total_area
0, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
1, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
2, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
3, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
4, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
5, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
6, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
7, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
8, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
9, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
10, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
11, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
12, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
13, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
14, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
15, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
16, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
17, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
18, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
19, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
20, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
21, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
22, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
23, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
24, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
25, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
26, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
27, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
28, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
29, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
30, Buninskaia Alleia ,25000,transport,173,owner                 ,0,3,7,9,18,9,40
31, Rasskazovka ,45000,walk,45,realtor                 ,31,22,15,22,23,9,40
32, Fili ,50000,walk,61,owner                 ,0,6,5,7,18,9,30
33, Kommunarka ,40000,walk,65,owner                 ,50,4,10,15,15,5,5
34, Cherkizovskaia ,42000,walk,69,realtor                 ,50,4,12,39,11,6,19
35, Lukhmanovskaia ,40000,walk,55,owner                 ,0,1,15,1,17,14,35
36, Teplyi Stan ,78000,walk,62,owner                 ,0,8,15,16,37,37,37
37, Buninskaia Alleia ,30000,transport,103,realtor                 ,60,3,12,13,12,3,24
38, Prazhskaia ,45000,walk,61,realtor                 ,50,10,15,17,20,8,38
39, Mezhdunarodnaia ,260000,walk,110,realtor                 ,50,74,0,95,31,20,51
40,No data,35000,walk,16,agency                       ,100,13,0,14,19,9,35
41, Fili ,70000,walk,28,agency                       ,50,14,0,27,16,5,32
42, Kommunarka ,19000,walk,34,agency                       ,100,3,0,9,18,8,36
43,No data,33000,walk,22,agency                       ,100,1,0,12,19,8,33
44, Filatov Lug ,15000,walk,22,agency                       ,100,7,0,7,20,10,45
45,No data,32000,walk,12,agency                       ,100,3,0,14,20,10,39
46, Planernaia ,38000,walk,17,agency                       ,100,4,0,12,19,7,35
47, Annino ,30000,walk,50,agency                       ,100,9,0,14,22,10,45
48,No data,30000,walk,20,agency                    ,60,6,0,12,19,12,38
49, Shchelkovskaia ,20000,transport,10,agency                 ,50,4,4,9,20,9,38
50, Beliaevo ,28000,walk,17,agency                 ,43,14,9,16,31,8,40
51, Liublino ,26000,walk,17,agency                 ,50,14,2,16,28,7,39
52, Kuzminki ,27000,walk,16,agency                 ,48,15,6,24,29,8,38
53, Novye Cheremushki ,25500,walk,16,agency                 ,47,15,7,17,30,7,40
54, Marino ,25000,walk,25,agency                 ,50,8,13,17,21,6,40
55, Teplyi Stan ,20000,transport,26,agency                 ,50,5,6,13,19,6,38
56, Strogino ,40000,walk,10,agency                 ,0,12,5,12,20,8,39
57, Rasskazovka ,40000,walk,22,agency                 ,0,17,0,17,20,10,40
58,No data,35000,walk,29,agency                 ,0,12,0,12,18,8,32
59, Solntcevo ,50000,walk,28,agency                 ,0,15,0,17,20,8,40
60, Kommunarka ,24000,walk,22,agency                 ,50,5,15,15,14,9,33
61, Salarevo ,14000,transport,24,agency                 ,50,6,6,17,18,11,40
62, Salarevo ,14000,transport,31,agency                 ,50,4,5,17,19,11,41
63, Piatnitckoe shosse ,18000,walk,22,agency                 ,50,8,5,17,17,6,36
64, Teplyi Stan ,33000,walk,22,agency                 ,0,5,5,16,20,12,34
65, Izmailovskaia ,25000,transport,22,agency                 ,50,2,19,5,24,8,36
66, Buninskaia Alleia ,24000,transport,25,agency                 ,50,16,7,17,26,8,38
67, Petrovsko-Razumovskaia ,25000,walk,47,agency                 ,50,17,10,22,20,10,39
68, Tekstilshchiki ,24000,walk,38,agency                 ,50,7,6,9,24,8,46
69, Novokosino ,22000,walk,96,owner                 ,0,9,6,17,30,15,45
70, Ulitca Dmitrievskogo ,21000,walk,83,owner                 ,0,7,6,12,30,15,45
71, Solntcevo ,21000,transport,51,owner                 ,0,5,32,9,30,12,42
72, Nagornaia ,22000,walk,115,owner                 ,0,5,6,9,30,11,41
73, Dubrovka ,22000,walk,84,owner                 ,0,10,11,16,30,13,43
74, Partizanskaia ,21000,walk,72,owner                 ,0,7,9,9,30,12,42
75, Bulvar Rokossovskogo ,22000,walk,82,owner                 ,0,3,6,5,30,13,43
76, VDNKh ,20000,transport,92,owner                 ,0,4,4,9,30,13,43
77, Medvedkovo ,21000,walk,77,owner                 ,0,7,5,14,30,12,42
78, Altufevo ,20000,walk,116,owner                 ,0,7,5,12,30,13,43
79, Petrovskii park ,17000,transport,17,owner                 ,0,10,4,17,30,15,45
80, Petrovskii park ,18000,transport,17,owner                 ,0,9,5,16,30,12,42
81, Salarevo ,18000,transport,36,owner                 ,0,9,5,17,30,15,45
82, Buninskaia Alleia ,18000,transport,26,owner                 ,0,5,8,12,30,12,42
83, Buninskaia Alleia ,17000,transport,35,owner                 ,0,4,8,10,30,15,45
84, Narodnoe Opolchenie ,62000,transport,29,owner                 ,0,1,0,24,32,6,40
85, Buninskaia Alleia ,18000,transport,32,agency                 ,50,6,10,9,20,6,39
86, Buninskaia Alleia ,14000,transport,30,agency                 ,50,6,8,17,18,6,38
87, Zhulebino ,16000,walk,38,agency                 ,50,3,8,4,17,6,39
88, Mitino ,37000,walk,16,owner                 ,0,12,4,17,20,9,40
89, Nekrasovka ,25000,walk,69,agency                 ,50,16,7,17,20,10,40
90, Studencheskaia ,25000,walk,119,agency                 ,50,7,7,8,20,10,37
91, Bulvar Admirala Ushakova ,35000,walk,28,agency                    ,40,11,5,17,22,9,38
92, Kuntcevskaia ,50000,walk,10,agency                    ,50,8,7,14,30,13,50
93, Khovrino ,33000,walk,28,agency                    ,50,9,17,16,37,37,37
94, Krasnogvardeiskaia ,34000,walk,16,agency                    ,60,8,8,9,6,18,6
95, Kantemirovskaia ,55000,walk,20,agency                    ,40,8,3,15,37,37,37
96, Vodnyi stadion ,56000,walk,22,agency                    ,0,15,9,24,16,4,28
97, Kurskaia ,75000,walk,16,agency                    ,50,4,14,5,20,10,45
98, Borisovo ,35000,walk,9,agency                    ,50,14,5,22,20,10,39
99, Tcvetnoi bulvar ,65000,walk,36,agency                    ,50,4,11,12,19,10,39
100, Elektrozavodskaia ,61000,walk,51,Застройщик                 ,50,10,13,14,20,10,39
101, Seligerskaia ,60000,walk,21,Застройщик                 ,50,1,8,23,19,8,35
102, Rechnoi vokzal ,45000,transport,19,Застройщик                 ,50,12,15,17,20,10,40
103, Otradnoe ,60000,walk,48,Застройщик                 ,50,23,18,25,37,37,37
104,No data,30260,walk,17,agency                 ,0,3,0,11,37,37,37
105, Alekseevskaia ,57000,walk,54,Застройщик                 ,50,3,7,12,37,37,37
106, Prospekt Mira ,60000,walk,16,Застройщик                 ,18,6,8,9,22,7,35
107, Belorusskaia ,62000,walk,24,Застройщик                 ,70,9,10,9,17,9,37
108, Salarevo ,60000,transport,40,Застройщик                 ,50,17,8,22,20,10,39
109, Bulvar Rokossovskogo ,60000,walk,21,Застройщик                 ,50,1,7,9,19,9,38
110,No data,30260,walk,17,agency                 ,0,3,0,11,37,37,37
111,No data,30000,walk,13,Застройщик                 ,0,2,0,13,16,15,37
112,No data,60000,walk,54,Застройщик                 ,50,5,0,5,20,8,38
113, Prospekt Vernadskogo ,60000,walk,38,owner                 ,0,6,5,10,37,37,37
114, Bratislavskaia ,60000,walk,18,Застройщик                 ,50,23,21,25,21,10,41
115, Volzhskaia ,45000,walk,24,Застройщик                 ,50,7,10,18,19,9,37
116, Piatnitckoe shosse ,30000,transport,96,owner                 ,0,3,47,14,21,9,3
117, Kotelniki ,44000,walk,10,Застройщик                 ,50,6,3,12,20,10,39
118,No data,60000,walk,64,Застройщик                 ,50,1,0,12,20,10,40
119, Okruzhnaia ,43000,walk,32,Застройщик                 ,50,2,3,5,37,37,37
120, Krasnye vorota ,60000,walk,18,agency                 ,100,2,4,11,37,37,37
121, Cherkizovskaia ,45000,walk,11,Застройщик                 ,60,27,26,39,37,37,37
122, Rasskazovka ,26500,walk,26,agency                 ,60,3,13,3,37,37,37
123, Rasskazovka ,30000,walk,28,agency                 ,50,2,12,3,37,37,37
124, Buninskaia Alleia ,43000,transport,28,Застройщик                 ,50,6,23,17,22,11,44
125, Belomorskaia ,45000,walk,16,Застройщик                 ,50,18,12,19,21,11,45
126, Belomorskaia ,60000,walk,20,Застройщик                 ,50,4,8,9,19,7,35
127, Nakhimovskii prospekt ,45000,walk,23,Застройщик                 ,50,1,4,9,18,7,33
128, Spartak ,60000,walk,39,Застройщик                 ,50,13,10,19,20,9,38
129, Govorovo ,60000,walk,18,Застройщик                 ,50,16,11,25,19,9,36
130,No data,60000,walk,52,Застройщик                 ,50,3,0,18,37,37,37
131,No data,30000,walk,27,agency                 ,100,9,0,14,22,10,45
132, Iasenevo ,44000,walk,19,agency                 ,0,13,10,22,37,37,37
133, Nekrasovka ,25000,walk,44,Застройщик                 ,80,2,15,17,37,37,37
134, Annino ,45000,walk,41,Застройщик                 ,50,5,2,16,19,9,41
135, Tulskaia ,60000,walk,67,owner                 ,0,3,11,11,37,37,37
136, Planernaia ,60000,walk,32,Застройщик                 ,50,8,6,16,37,37,37
137, Salarevo ,60000,walk,35,Застройщик                 ,50,17,9,25,20,10,36
138, Belorusskaia ,59000,walk,15,agency                 ,0,5,8,8,37,37,37
139, Rasskazovka ,44000,walk,14,owner                 ,0,2,6,25,37,37,37
140, Krasnoselskaia ,60000,walk,25,Застройщик                 ,50,5,4,14,19,8,35
141,No data,60000,walk,51,Застройщик                 ,50,2,0,4,25,11,54
142, Salarevo ,45000,walk,30,agency                 ,50,4,9,15,37,37,37
143, Vladykino ,44000,walk,17,agency                 ,50,4,7,5,10,4,8
144, Buninskaia Alleia ,29200,transport,20,agency                 ,50,5,21,16,10,4,4
145, Shelepikha ,59000,walk,21,agency                 ,0,2,6,12,19,7,8
146,No data,59000,walk,17,agency                 ,50,1,0,14,37,37,37
147,No data,60000,walk,13,agency                 ,50,10,0,33,37,37,37
148,No data,31200,walk,5,agency                 ,50,5,0,7,15,7,5
149, Aviamotornaia ,62100,walk,17,agency                 ,50,15,5,23,11,10,4
150, Govorovo ,57000,walk,26,agency                 ,50,10,6,23,25,10,5
151,No data,45400,walk,16,agency                 ,50,19,0,33,37,37,37
152, Salarevo ,57000,walk,28,agency                 ,50,23,19,24,15,16,7
153, Marina Roshcha ,60000,walk,33,agency                 ,50,8,8,9,37,37,37
154,No data,29200,walk,19,agency                 ,50,7,0,33,12,4,20
155, Annino ,57000,walk,49,agency                 ,50,24,8,25,14,4,1
156, Buninskaia Alleia ,31200,transport,27,agency                 ,50,7,18,15,10,5,24
157, Proletarskaia ,62000,walk,27,agency                 ,50,2,3,17,37,37,37
158,No data,61000,walk,50,agency                 ,0,4,0,4,14,4,24
159, Ploshchad Ilicha ,59000,walk,40,owner                 ,0,1,11,2,37,37,37
160,No data,45000,walk,13,Застройщик                 ,70,2,0,17,37,37,37
161,No data,130000,walk,18,agency                 ,0,9,0,30,37,37,37
162, TcSKA ,130000,walk,12,agency                 ,0,14,14,41,37,37,37
163, Bagrationovskaia ,60000,walk,15,agency                 ,0,613,10,13217,18,10,40
164, Tekstilshchiki ,30000,walk,18,agency                 ,0,2,17,5,37,37,37
165, Okhotnyi riad ,500000,walk,173,agency                 ,0,5,2,10,37,37,37
166, Okhotnyi riad ,500000,walk,173,agency                 ,0,5,2,10,37,37,37
167,No data,60000,walk,21,agency                 ,50,1,0,5,18,6,32
168, Buninskaia Alleia ,58000,walk,24,agency                 ,40,12,7,24,37,37,37
169, Fili ,135000,walk,11,agency                 ,50,5,18,21,25,12,50
170, Ulitca 1905 goda ,135000,walk,14,agency                 ,25,8,12,44,26,7,8
171, Ulitca 1905 goda ,130000,walk,28,agency                 ,0,32,12,44,35,5,50
172, Vodnyi stadion ,60000,walk,53,agency                 ,40,6,12,23,37,37,37
173,No data,57500,walk,58,Застройщик                 ,50,4,0,7,20,10,40
174, Mitino ,30000,transport,68,agency                 ,60,6,42,12,19,12,38
175, Ulitca 1905 goda ,60000,walk,24,agency                 ,100,3,2,9,22,6,35
176, Planernaia ,43000,walk,24,Застройщик                 ,50,2,14,12,20,8,39
177, Sviblovo ,45000,walk,23,Застройщик                 ,70,9,5,17,37,37,37
178, Sukharevskaia ,130000,walk,47,Застройщик                 ,0,17,9,19,37,37,37
179, Taganskaia ,60000,walk,41,agency                 ,80,2,12,9,18,7,38
180, Shelepikha ,62000,walk,16,agency                 ,50,7,13,10,35,15,52
181, Belorusskaia ,135000,walk,12,agency                 ,0,6,14,9,25,5,5
182,No data,30000,walk,18,Застройщик                 ,60,6,0,13,16,12,36
183, Botanicheskii sad ,56500,walk,21,agency                 ,0,3,2,15,37,37,37
184,No data,57000,walk,19,Застройщик                 ,50,12,0,14,19,8,35
185,No data,57000,walk,54,owner                 ,0,9,0,14,37,37,37
186, Dmitrovskaia ,57000,walk,22,Застройщик                 ,50,9,4,9,37,37,37
187, Petrovskii park ,60000,walk,17,agency                 ,50,9,4,11,37,37,37
188, Ozernaia ,45000,walk,26,agency                 ,50,11,18,21,37,37,37
189, Baumanskaia ,58000,walk,19,agency                 ,50,2,3,12,37,37,37
190, Rasskazovka ,45000,walk,4,agency                 ,50,2,11,25,37,37,37
191,No data,58000,walk,20,agency                 ,50,10,0,17,37,37,37
192, Dinamo ,60000,walk,20,agency                 ,40,5,17,6,37,37,37
193, Strogino ,59000,walk,16,agency                 ,50,20,19,23,37,37,37
194,No data,60000,walk,14,agency                 ,50,4,0,17,37,37,37
195,No data,130000,walk,11,agency                 ,0,9,0,33,37,37,37
196,No data,23000,walk,16,Застройщик                 ,60,3,0,13,37,37,37
197,No data,45000,walk,13,agency                 ,50,3,0,5,18,6,36
198, Ramenki ,138500,walk,15,agency                 ,0,48,8,50,37,37,37
199, Tcvetnoi bulvar ,61000,walk,16,owner                 ,0,1,7,4,37,37,37
200, Polianka ,135000,walk,27,owner                 ,0,2,4,14,37,37,37
201, Sokolniki ,60000,walk,14,owner                 ,0,2,6,5,37,37,37
202, Rasskazovka ,60000,transport,48,Застройщик                 ,50,20,12,24,21,12,45
203,No data,45000,transport,17,Застройщик                 ,60,5,0,12,20,7,39
204, Buninskaia Alleia ,58000,walk,15,owner                 ,0,14,10,24,37,37,37
205, Aviamotornaia ,60000,walk,16,Застройщик                 ,50,23,10,23,19,9,38
206, Lefortovo ,58000,walk,12,Застройщик                 ,0,2,6,2,37,37,37
207, Govorovo ,57000,walk,13,Застройщик                 ,50,13,10,15,23,12,57
208, Akademicheskaia ,60000,walk,22,Застройщик                 ,50,8,6,12,21,9,42
209, Pechatniki ,45000,walk,24,Застройщик                 ,50,21,10,25,23,12,51
210, Seligerskaia ,62000,walk,39,Застройщик                 ,50,23,6,38,20,12,35
211, Minskaia ,43000,transport,11,Застройщик                 ,50,10,22,12,19,8,35
212, Universitet ,60000,walk,20,Застройщик                 ,50,7,15,14,19,8,35
213, Butyrskaia ,60000,walk,65,Застройщик                 ,50,2,10,9,20,9,40
214, Ramenki ,60000,walk,50,Застройщик                 ,50,16,7,16,21,10,43
215, Bulvar Rokossovskogo ,45000,walk,34,Застройщик                 ,50,8,9,12,20,10,38
216, Arbatskaia ,130000,walk,18,agency                 ,0,22,8,26,37,37,37
217,No data,30000,walk,12,owner                 ,0,2,0,14,12,10,37
218, Bagrationovskaia ,60000,walk,69,Застройщик                 ,50,5,2,5,18,7,33
219, Oktiabrskaia ,59000,walk,13,agency                 ,0,2,4,9,37,37,37
220, Prospekt Mira ,57000,walk,46,Застройщик                 ,50,7,12,12,19,10,35
221, Iugo-Zapadnaia ,60000,transport,35,Застройщик                 ,50,6,11,7,20,9,38
222, Vladykino ,60000,walk,20,Застройщик                 ,50,16,4,16,37,37,37
223, Oktiabrskoe pole ,62000,walk,16,agency                 ,0,1,17,24,37,37,37
224, Chertanovskaia ,45000,walk,21,Застройщик                 ,50,2,12,12,19,8,35
225, Ziablikovo ,45000,walk,28,Застройщик                 ,50,13,17,25,37,37,37
226, Novoperedelkino ,29500,transport,7,agency                 ,0,2,21,7,37,37,37
227,No data,60000,transport,48,Застройщик                 ,50,3,0,9,19,7,33
228, Kaluzhskaia ,60000,walk,31,Застройщик                 ,50,4,16,21,37,37,37
229, Tekstilshchiki ,45000,walk,17,Застройщик                 ,50,9,20,25,21,11,44
230, Mitino ,57750,walk,43,agency                 ,0,5,10,20,37,37,37
231, Salarevo ,60000,walk,37,agency                 ,50,15,19,25,12,11,4
232, Timiriazevskaia ,45000,walk,15,agency                 ,65,7,7,9,20,6,30
233, Dobryninskaia ,45000,walk,21,agency                 ,100,1,5,6,19,6,31
234, Altufevo ,45000,walk,29,agency                 ,50,7,6,22,37,37,37
235, Ramenki ,60000,walk,19,agency                 ,60,9,9,17,20,10,40
236,No data,57000,walk,42,Застройщик                 ,50,10,0,21,22,10,45
237, Kievskaia ,59000,walk,9,agency                 ,0,2,10,5,37,37,37
238, Ziablikovo ,30000,walk,21,Застройщик                 ,50,4,10,12,37,37,37
239, Seligerskaia ,60000,transport,47,Застройщик                 ,50,10,11,14,21,11,45
240, Salarevo ,45000,walk,17,Застройщик                 ,50,23,19,24,19,8,34
241,No data,45000,walk,14,Застройщик                 ,50,22,0,22,13,3,21
242, Buninskaia Alleia ,29000,transport,25,Застройщик                 ,50,3,18,9,37,37,37
243, Liublino ,43000,walk,23,agency                 ,70,1,11,5,16,6,31
244, Botanicheskii sad ,60000,walk,21,Застройщик                 ,50,5,2,26,37,37,37
245,No data,30000,walk,9,agency                 ,0,2,0,4,37,37,37
246, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
247, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
248, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
249, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
250, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
251, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
252, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
253, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
254, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
255, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
256, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
257, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
258, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
259, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
260, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
261, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
262, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
263, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
264, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
265, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
266, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
267, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
268, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
269, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
270, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
271, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
272, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
273, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
274, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
275, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
276, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
277, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
278, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
279, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
280, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
281, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
282, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
283, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
284, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
285, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
286, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
287, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
288, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
289, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
290, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
291, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
292, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
293, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
294, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
295, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
296, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
297, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
298, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
299, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
300, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
301, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
302, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
303, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
304, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
305, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
306, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
307, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
308, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
309, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
310, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
311, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
312, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
313, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
314, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
315, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
316, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
317, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
318, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
319, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
320, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
321, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
322, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
323, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
324, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
325, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
326, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
327, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
328, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
329, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
330, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
331, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
332, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
333, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
334, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
335, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
336, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
337, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
338, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
339, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
340, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
341, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
342, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
343, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
344, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
345, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
346, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
347, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
348, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
349, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
350, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
351, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
